stamp,kernel,counter_slots,hz,batch,sweep_every,slot_reads_per_s,duration_s,cpu_seconds,percent_of_one_core,rss_kib
20260822T184611Z,6.8.0-138-generic,50000,10,1000,1,500180,60.013,7.9300,13.2139,1656
20260822T184743Z,6.8.0-138-generic,50000,1,1000,1,50018,40.014,0.5600,1.3995,1656
20260822T184829Z,6.8.0-138-generic,50000,10,5000,1,500180,40.014,5.2900,13.2205,1800
20260822T184914Z,6.8.0-138-generic,50000,10,50000,1,500180,40.013,5.3100,13.2706,3380
20260822T184959Z,6.8.0-138-generic,5000,10,1000,1,50180,40.013,0.5800,1.4495,1304
20260822T185934Z,6.8.0-138-generic,50000,10,1000,1,500180,60.014,7.8900,13.1470,1660
20260822T190039Z,6.8.0-138-generic,50000,10,1000,1,500180,60.014,7.9700,13.2802,1660
20260822T190144Z,6.8.0-138-generic,50000,10,1000,1,500180,60.013,8.0700,13.4472,1660
20260822T190404Z,6.8.0-138-generic,50000,10,1000,1,500180,60.013,8.0000,13.3304,1660
20260822T190510Z,6.8.0-138-generic,50000,10,1000,14,35894,60.013,0.6100,1.0164,1660
20260822T190615Z,6.8.0-138-generic,50000,10,1000,20,25180,60.013,0.4400,0.7332,1660
20260822T190720Z,6.8.0-138-generic,50000,10,1000,40,12680,60.013,0.2400,0.3999,1660
20260822T190838Z,6.8.0-138-generic,50000,10,1000,1,500180,300.013,39.8200,13.2727,1660
20260822T191344Z,6.8.0-138-generic,50000,10,1000,20,25180,300.014,2.2300,0.7433,1660
20260822T192050Z,6.8.0-138-generic,50000,10,1000,20,25180,60.014,0.4500,0.7498,1660
