variant,cpus,distribution,repeat,reported_ns_worst,elapsed_ms,runs_per_s,scaling
xdp_bucket_percpu_entry,1,same,3000000,85,292,10273973,1.00
xdp_bucket_percpu_entry,2,same,3000000,87,301,19933555,1.94
xdp_bucket_percpu_entry,3,same,3000000,85,292,30821918,3.00
xdp_bucket_percpu_entry,4,same,3000000,89,316,37974684,3.70
xdp_bucket_percpu_entry,1,adjacent,3000000,85,292,10273973,1.00
xdp_bucket_percpu_entry,2,adjacent,3000000,87,304,19736842,1.92
xdp_bucket_percpu_entry,3,adjacent,3000000,86,294,30612245,2.98
xdp_bucket_percpu_entry,4,adjacent,3000000,89,303,39603960,3.85
xdp_bucket_percpu_entry,1,spread,3000000,85,296,10135135,1.00
xdp_bucket_percpu_entry,2,spread,3000000,85,291,20618557,2.03
xdp_bucket_percpu_entry,3,spread,3000000,88,299,30100334,2.97
xdp_bucket_percpu_entry,4,spread,3000000,86,297,40404040,3.99
xdp_bucket_percpu_bank,1,same,3000000,86,292,10273973,1.00
xdp_bucket_percpu_bank,2,same,3000000,86,294,20408163,1.99
xdp_bucket_percpu_bank,3,same,3000000,87,308,29220779,2.84
xdp_bucket_percpu_bank,4,same,3000000,87,301,39867110,3.88
xdp_bucket_percpu_bank,1,adjacent,3000000,86,294,10204082,1.00
xdp_bucket_percpu_bank,2,adjacent,3000000,86,300,20000000,1.96
xdp_bucket_percpu_bank,3,adjacent,3000000,86,295,30508475,2.99
xdp_bucket_percpu_bank,4,adjacent,3000000,86,297,40404040,3.96
xdp_bucket_percpu_bank,1,spread,3000000,86,294,10204082,1.00
xdp_bucket_percpu_bank,2,spread,3000000,86,292,20547945,2.01
xdp_bucket_percpu_bank,3,spread,3000000,95,320,28125000,2.76
xdp_bucket_percpu_bank,4,spread,3000000,89,304,39473684,3.87
xdp_bucket_global_race,1,same,3000000,83,287,10452962,1.00
xdp_bucket_global_race,2,same,3000000,125,410,14634146,1.40
xdp_bucket_global_race,3,same,3000000,168,539,16697588,1.60
xdp_bucket_global_race,4,same,3000000,216,693,17316017,1.66
xdp_bucket_global_race,1,adjacent,3000000,83,292,10273973,1.00
xdp_bucket_global_race,2,adjacent,3000000,123,405,14814815,1.44
xdp_bucket_global_race,3,adjacent,3000000,166,537,16759777,1.63
xdp_bucket_global_race,4,adjacent,3000000,175,574,20905923,2.03
xdp_bucket_global_race,1,spread,3000000,86,304,9868421,1.00
xdp_bucket_global_race,2,spread,3000000,86,293,20477816,2.08
xdp_bucket_global_race,3,spread,3000000,84,287,31358885,3.18
xdp_bucket_global_race,4,spread,3000000,87,301,39867110,4.04
xdp_bucket_global_lock_entry,1,same,3000000,108,365,8219178,1.00
xdp_bucket_global_lock_entry,2,same,3000000,671,2058,2915452,0.35
xdp_bucket_global_lock_entry,3,same,3000000,1295,3924,2293578,0.28
xdp_bucket_global_lock_entry,4,same,3000000,1689,5120,2343750,0.29
xdp_bucket_global_lock_entry,1,adjacent,3000000,108,360,8333333,1.00
xdp_bucket_global_lock_entry,2,adjacent,3000000,154,497,12072435,1.45
