pass,arm,packets,cycles,instructions,cache-misses,L1-dcache-load-misses,enabled
0,idle,0,94912326,47008095,144141,1195385,ok
0,warmup,1612246,5079897320,4310948026,584263,187355403,ok
1,spread,1608775,5055740289,4283667351,721705,187733875,ok
1,single,1570597,4658388796,4149171671,183031,176600867,ok
2,single,1611291,4774704188,4267884383,180686,181679477,ok
2,spread,1611229,5035034668,4287124051,596183,187456171,ok
3,spread,1610475,5050266198,4292126652,644318,187425882,ok
3,single,1570357,4616044541,4142986014,191065,175692578,ok
4,single,1609590,4768912533,4258134035,207311,180449528,ok
4,spread,1613096,5067806742,4308865806,559815,188894154,ok
