pass,arm,packets,cycles,instructions,cache-misses,L1-dcache-load-misses,enabled
0,idle,0,81279578,38597199,170750,986900,ok
0,warmup,1610147,5086049409,4290089452,776941,186967628,ok
1,spread,1610973,5025677643,4294779992,550471,187292122,ok
1,single,1600000,4760654069,4242974600,241098,180088183,ok
2,single,1611521,4799081391,4283128765,183322,181667847,ok
2,spread,1613701,5084480373,4287484715,647100,187546734,ok
3,spread,1611247,5083684077,4287732000,660189,187788369,ok
3,single,1600000,4752059867,4247182462,214238,181245613,ok
4,single,1614772,4764808843,4283376873,153581,182106658,ok
4,spread,1612403,5079608410,4285862312,707416,187567927,ok
