seq,gap_ns,closed
749,1691310,true
782,1675486,true
916,1500177,true
1000,1500272,true
1730,1526058,true
3297,2355954,true
3325,2385681,true
3541,1596517,true
3971,2155809,true
3976,4048898,true
3985,1591253,true
3988,2815446,true
4001,1938533,true
4009,2614821,true
4028,1729853,true
4040,1801255,true
4052,2698399,true
4064,1612690,true
4071,1594286,true
4076,1913783,true
4088,1516984,true
4097,2782529,true
4109,1821692,true
4130,2617853,true
4147,2260483,true
4346,1708370,true
4349,1843844,true
4447,2002816,true
4459,3661332,true
4811,1518247,true
5270,1784580,true
5536,1610027,true
6932,1682992,true
10963,1680039,true
11351,3078547,true
11567,1842568,true
11803,1663448,true
11811,1857470,true
11960,1618576,true
12064,1716205,true
12221,1675122,true
12256,2113355,true
12259,2435346,true
12278,1888866,true
12290,1587320,true
12299,1779891,true
12305,1672904,true
12313,1940475,true
12327,1554713,true
12359,1946732,true
12371,1590792,true
12380,3500054,true
12392,2079879,true
12408,1664700,true
12604,3740723,true
12717,3068494,true
17163,1628296,true
17222,1682966,true
17643,1524241,true
17647,1722096,true
17769,1662714,true
18963,1736415,true
19316,1506059,true
19357,1595151,true
19527,1567487,true
19770,1528529,true
20581,1686666,true
23324,1644108,true
23628,1954092,true
23708,2240273,true
24243,1851208,true
24676,3525700,true
24693,5010343,true
24705,1642638,true
24825,3110974,true
24834,1628388,true
24869,2013681,true
25316,3555037,true
25325,2053319,true
25334,1655068,true
25344,1656390,true
25354,1507725,true
25365,2253748,true
25369,2081221,true
25378,1672646,true
25388,2081581,true
25401,1942391,true
25417,1505310,true
25430,1818144,true
25434,2575786,true
25598,2650776,true
25666,1665737,true
25674,3261474,true
25688,1665585,true
25777,1632280,true
25781,1844864,true
28264,1500627,true
28572,1859346,true
29641,1576737,true
29801,2912833,true
29809,2479867,true
29821,1689160,true
30116,1674904,true
31274,1929715,true
31667,1612813,true
33160,3730807,true
34316,1501634,true
35760,1834549,true
35895,1633713,true
36606,1788624,true
37162,1704472,true
37501,1716840,true
39171,4233780,true
39754,1526591,true
40434,1778406,true
40500,1861596,true
40552,1660602,true
40828,1504644,true
41377,1623380,true
41656,3517909,true
41738,2211708,true
42138,1671416,true
42472,1508467,true
43594,1826064,true
43706,1819888,true
44891,1885040,true
45658,3685576,true
45794,1534079,true
46172,3644930,true
46216,1670878,true
46467,3302310,true
46612,1550169,true
46623,2575342,true
46636,1547345,true
46640,3110656,true
46675,2286047,true
46695,1999253,true
46707,1718127,true
46721,2116229,true
46763,1671658,true
46770,2317849,true
46816,1557927,true
46820,3436233,true
47014,3726703,true
47024,1581271,true
47046,1661372,true
47112,1501277,true
47117,2157485,true
47127,1762448,true
49610,3516456,true
49687,1926857,true
51505,1872642,true
51927,2129585,true
51938,1955523,true
52704,1652212,true
53612,3449615,true
55896,1516220,true
57520,1568923,true
57698,1745533,true
58187,1529153,true
59287,1995082,true
59437,1561967,true
60320,1566795,true
60458,1713649,true
61614,1553627,true
62971,3969397,true
63196,2013274,true
63205,1601121,true
63209,2186107,true
63637,1514733,true
63654,2976557,true
63674,1858138,true
63680,2289138,true
63687,1594498,true
63708,3067117,true
63760,1904763,true
63774,2070351,true
63792,1725232,true
63801,1773700,true
64147,2081751,true
66836,1918629,true
67100,2533952,true
67348,3623445,true
67358,2484741,true
67375,3055191,true
67494,1757557,true
67495,1893685,true
67834,1629721,true
67945,1832092,true
67958,1635138,true
67964,1856442,true
67972,1768276,true
67975,2858535,true
67982,1649668,true
67993,1538614,true
68006,2878809,true
68023,2295633,true
68030,2366951,true
68058,1790144,true
68062,1579001,true
68071,3232079,true
68082,1665942,true
68091,1795058,true
68094,1555889,true
68101,1805503,true
68105,1696182,true
68241,1520876,true
68440,1559467,true
68447,1701138,true
68458,2374128,true
69166,1629398,true
69170,1534814,true
69580,1521277,true
69643,1542723,true
71430,1641002,true
71538,3119960,true
71580,1522387,true
71633,1644280,true
71645,3172621,true
71666,3440322,true
71695,1510257,true
75068,3008813,true
76626,1525396,true
77640,5378115,true
77643,1798712,true
80634,1700312,true
80672,1598335,true
81640,1603040,true
83968,3460954,true
84134,1648072,true
84528,1721775,true
84718,1578365,true
