cycle,event,gap_ns,gap_closed,tcp_retrans_delta
1,attach,,,0
1,detach,,,0
2,attach,,,0
2,detach,,,0
3,attach,,,0
3,detach,,,0
4,attach,,,0
4,detach,,,45
5,attach,,,0
5,detach,,,0
6,attach,,,0
6,detach,,,0
7,attach,,,0
7,detach,,,0
8,attach,,,0
8,detach,,,0
9,attach,,,0
9,detach,,,0
10,attach,,,0
10,detach,,,0
,gap,1700202,true,
,gap,5690949,true,
,gap,1664140,true,
,gap,1575483,true,
,gap,1888196,true,
,gap,1554765,true,
,gap,1548751,true,
,gap,1923452,true,
,gap,1524372,true,
,gap,2242880,true,
,gap,3495296,true,
,gap,3299793,true,
,gap,1997395,true,
,gap,1640048,true,
,gap,1627385,true,
,gap,2609159,true,
,gap,2602684,true,
,gap,1697164,true,
,gap,1736346,true,
,gap,2330920,true,
,gap,1502624,true,
,gap,1555209,true,
,gap,1603837,true,
,gap,2122377,true,
,gap,2125577,true,
,gap,2105773,true,
,gap,2487529,true,
,gap,1612446,true,
,gap,3023657,true,
,gap,2297373,true,
,gap,2065373,true,
,gap,2737072,true,
,gap,1795501,true,
,gap,1742445,true,
,gap,2551159,true,
,gap,1983786,true,
,gap,5631482,true,
,gap,3243613,true,
,gap,2195902,true,
,gap,1846290,true,
,gap,3000006,true,
,gap,1525251,true,
,gap,3016237,true,
,gap,2094163,true,
,gap,1851216,true,
,gap,2173469,true,
,gap,2122779,true,
,gap,1951544,true,
,gap,2236638,true,
,gap,1962923,true,
,gap,2168759,true,
,gap,3124858,true,
,gap,2010038,true,
,gap,1579404,true,
,gap,1562387,true,
,gap,1568117,true,
,gap,2227630,true,
,gap,3801524,true,
,gap,2162270,true,
,gap,1606439,true,
,gap,1578211,true,
,gap,2057269,true,
,gap,3466391,true,
,gap,3157018,true,
,gap,1787405,true,
,gap,4947594,true,
,gap,1840596,true,
,gap,1612260,true,
,gap,2964879,true,
,gap,1897885,true,
,gap,3105187,true,
,gap,2043306,true,
,gap,1782286,true,
,gap,2029070,true,
,gap,1501046,true,
,gap,1833701,true,
,gap,2603792,true,
,gap,5132202,true,
,gap,3553921,true,
,gap,1955942,true,
,gap,2884345,true,
,gap,2948362,true,
,gap,2002206,true,
,gap,2152681,true,
,gap,1618971,true,
,gap,1729452,true,
,gap,1612878,true,
,gap,1500458,true,
,gap,1552917,true,
,gap,1738593,true,
,gap,2725961,true,
,gap,2816953,true,
,gap,2670301,true,
,gap,3228577,true,
,gap,1882522,true,
,gap,1799458,true,
,gap,2940448,true,
,gap,1592825,true,
,gap,1874227,true,
,gap,1688580,true,
,gap,2940618,true,
,gap,2751890,true,
,gap,3081518,true,
,gap,2050520,true,
,gap,1744468,true,
,gap,2242095,true,
,gap,1566919,true,
,gap,1582785,true,
,gap,1503711,true,
,gap,4353948,true,
,gap,3430779,true,
,gap,3300552,true,
,gap,2061662,true,
,gap,2599746,true,
,gap,1508456,true,
,gap,1720012,true,
,gap,1547233,true,
,gap,1523238,true,
,gap,2309777,true,
,gap,1777194,true,
,gap,2923264,true,
,gap,1507179,true,
,gap,1768740,true,
,gap,3481688,true,
,gap,1820789,true,
,gap,1762973,true,
,gap,1568525,true,
,gap,1931835,true,
,gap,1937531,true,
,gap,1520151,true,
,gap,1903707,true,
,gap,1600689,true,
,gap,6413442,true,
,gap,1610743,true,
,gap,3186291,true,
,gap,4330613,true,
,gap,1586699,true,
,gap,2501622,true,
,gap,2962967,true,
,gap,1558247,true,
,gap,2497619,true,
,gap,2134597,true,
,gap,1987516,true,
,gap,1635940,true,
,gap,2417337,true,
,gap,1600464,true,
,gap,2439890,true,
,gap,3048139,true,
,gap,2327666,true,
,gap,2399136,true,
,gap,1860218,true,
,gap,2319639,true,
,gap,4739136,true,
,gap,1755622,true,
,gap,2254371,true,
,gap,1672822,true,
,gap,3168976,true,
,gap,1829586,true,
,gap,3231885,true,
,gap,3524187,true,
,gap,2340489,true,
,gap,1906389,true,
,gap,4378421,true,
,gap,1699460,true,
,gap,1972171,true,
,gap,1518584,true,
,gap,2216168,true,
,gap,2396438,true,
,gap,4334133,true,
,gap,2437905,true,
,gap,1855912,true,
,gap,2199962,true,
,gap,1864842,true,
,gap,1828172,true,
,gap,1793998,true,
,gap,4028952,true,
,gap,3915963,true,
,gap,2409150,true,
,gap,2726991,true,
,gap,3366009,true,
,gap,1688415,true,
,gap,1908191,true,
,gap,2140846,true,
,gap,1897334,true,
,gap,1672015,true,
,gap,4021582,true,
,gap,2273995,true,
,gap,2637070,true,
,gap,2219714,true,
,gap,1847682,true,
,gap,1986432,true,
,gap,4956548,true,
,gap,1870790,true,
,gap,1547915,true,
,gap,1872805,true,
,gap,1548600,true,
,gap,1714563,true,
,gap,1598868,true,
,gap,1537839,true,
,gap,1797416,true,
,gap,1794266,true,
,gap,1550130,true,
,gap,2366742,true,
,gap,2014022,true,
,gap,1791208,true,
,gap,2066149,true,
,gap,2862333,true,
,gap,2976681,true,
,gap,2082984,true,
,gap,1858284,true,
,gap,1567809,true,
,gap,1981700,true,
,gap,1593773,true,
,gap,6915936,true,
,gap,1534351,true,
,gap,1773837,true,
,gap,4109623,true,
,gap,2389242,true,
,gap,1905225,true,
,gap,2059942,true,
,gap,1616621,true,
,gap,2058130,true,
,gap,1576980,true,
,gap,2372398,true,
,gap,2049788,true,
,gap,2240393,true,
,gap,1901157,true,
,gap,1839468,true,
,gap,1608102,true,
,gap,2015442,true,
,gap,1750350,true,
,gap,1597364,true,
,gap,1631656,true,
,gap,1528266,true,
,gap,3495162,true,
,gap,3398941,true,
,gap,1974244,true,
,gap,4756626,true,
,gap,1960884,true,
,gap,2076472,true,
,gap,2097079,true,
,gap,3040287,true,
,gap,2001082,true,
,gap,2570308,true,
,gap,2276691,true,
,gap,4159177,true,
,gap,2044264,true,
,gap,4520957,true,
,gap,1527519,true,
,gap,2080760,true,
,gap,1546399,true,
,gap,1863098,true,
,gap,1592578,true,
,gap,3290986,true,
,gap,2035409,true,
,gap,1737903,true,
,gap,1796065,true,
,gap,1876900,true,
,gap,3184337,true,
,gap,2003578,true,
,gap,1926211,true,
,gap,3359593,true,
,gap,1715724,true,
,gap,1538771,true,
,gap,1892401,true,
,gap,1532764,true,
,gap,4416966,true,
,gap,1912813,true,
,gap,3726273,true,
,gap,1992670,true,
,gap,3858679,true,
,gap,3000507,true,
,gap,1734237,true,
,gap,1619640,true,
,gap,1755355,true,
