entries,case,repeat,ns_above_floor,ns_spread,memlock_bytes
1,shallow_miss,1000000,254,3,104
1000,shallow_miss,1000000,256,5,104000
16384,shallow_miss,1000000,256,9,1703936
80000,shallow_miss,1000000,255,20,8320000
262144,shallow_miss,1000000,262,15,27262976
1000000,shallow_miss,1000000,251,2,104000000
1,deep_miss,1000000,252,6,104
1000,deep_miss,1000000,330,9,104000
16384,deep_miss,1000000,260,12,1703936
80000,deep_miss,1000000,319,22,8320000
262144,deep_miss,1000000,261,6,27262976
1000000,deep_miss,1000000,338,8,104000000
1,hit,1000000,266,15,104
1000,hit,1000000,409,6,104000
16384,hit,1000000,481,19,1703936
80000,hit,1000000,525,7,8320000
262144,hit,1000000,544,13,27262976
1000000,hit,1000000,581,43,104000000
