op,batch,elements,elapsed_ns,ns_per_element,elements_per_s
update_batch_lpm_trie,1,1000000,1931130364,1931.130,517831.431
lookup_batch_per_cpu_array,1,1000018,1594074733,1594.046,627334.452
update_batch_lpm_trie,100,1000000,877477350,877.477,1139630.555
lookup_batch_per_cpu_array,100,1000018,301652898,301.647,3315128.104
update_batch_lpm_trie,1000,1000000,855095095,855.095,1169460.573
lookup_batch_per_cpu_array,1000,1000018,276816173,276.811,3612570.714
update_batch_lpm_trie,10000,1000000,877878821,877.878,1139109.380
lookup_batch_per_cpu_array,10000,1000018,320138806,320.133,3123701.285
update_batch_lpm_trie,100000,1000000,864989780,864.989,1156083.023
lookup_batch_per_cpu_array,100000,1000018,283933807,283.928,3522011.029
update_elem_lpm_trie,1,1000000,1939005170,1939.005,515728.382
lookup_elem_per_cpu_array,1,1000018,1706954915,1706.924,585849.099
