arm,offered_pps,rep,profile,samples,p50_us,p99_us,p999_us,max_us,jitter_us,xdp_exception
none,0,1,udp-echo,900,237,318,394,394,81,0
none,0,1,tcp-reqresp,400,281,359,398,398,78,0
none,0,2,udp-echo,900,244,337,1101,1101,93,0
none,0,2,tcp-reqresp,400,274,381,798,798,107,0
none,0,3,udp-echo,900,246,324,685,685,78,0
none,0,3,tcp-reqresp,400,245,334,418,418,89,0
none,100000,1,udp-echo,900,241,381,2623,2623,139,0
none,100000,1,tcp-reqresp,400,301,1108,1307,1307,807,0
none,100000,2,udp-echo,900,241,412,770,770,170,0
none,100000,2,tcp-reqresp,400,279,548,1030,1030,269,0
none,100000,3,udp-echo,900,233,387,1538,1538,153,0
none,100000,3,tcp-reqresp,400,277,455,544,544,178,0
none,250000,1,udp-echo,900,245,468,1451,1451,223,0
none,250000,1,tcp-reqresp,400,276,499,695,695,222,0
none,250000,2,udp-echo,900,249,1062,1502,1502,812,0
none,250000,2,tcp-reqresp,400,284,455,712,712,170,0
none,250000,3,udp-echo,900,1036,1716,4694,4694,679,0
none,250000,3,tcp-reqresp,400,282,502,4677,4677,219,0
none,500000,1,udp-echo,900,1119,1712,2699,2699,592,0
none,500000,1,tcp-reqresp,400,273,509,529,529,235,0
none,500000,2,udp-echo,900,239,420,1584,1584,180,0
none,500000,2,tcp-reqresp,400,844,1342,1691,1691,497,0
none,500000,3,udp-echo,900,265,466,1143,1143,200,0
none,500000,3,tcp-reqresp,400,282,554,1678,1678,272,0
nft,0,1,udp-echo,900,248,1241,1369,1369,992,0
nft,0,1,tcp-reqresp,400,296,473,1641,1641,176,0
nft,0,2,udp-echo,900,260,453,1688,1688,193,0
nft,0,2,tcp-reqresp,400,295,433,951,951,137,0
nft,0,3,udp-echo,900,241,313,1316,1316,72,0
nft,0,3,tcp-reqresp,400,232,326,367,367,94,0
nft,100000,1,udp-echo,900,235,378,1597,1597,142,0
nft,100000,1,tcp-reqresp,400,267,411,718,718,144,0
nft,100000,2,udp-echo,900,239,374,946,946,134,0
nft,100000,2,tcp-reqresp,400,290,885,1549,1549,595,0
nft,100000,3,udp-echo,900,253,406,3336,3336,152,0
nft,100000,3,tcp-reqresp,400,316,865,1433,1433,548,0
nft,250000,1,udp-echo,900,248,427,2574,2574,179,0
nft,250000,1,tcp-reqresp,400,295,487,1255,1255,191,0
nft,250000,2,udp-echo,900,989,1718,2301,2301,728,0
nft,250000,2,tcp-reqresp,400,291,461,885,885,170,0
nft,250000,3,udp-echo,900,236,430,3244,3244,194,0
nft,250000,3,tcp-reqresp,400,273,432,744,744,158,0
nft,500000,1,udp-echo,900,241,454,1458,1458,212,0
nft,500000,1,tcp-reqresp,400,268,486,746,746,217,0
nft,500000,2,udp-echo,900,238,425,739,739,186,0
nft,500000,2,tcp-reqresp,400,281,449,563,563,168,0
nft,500000,3,udp-echo,900,238,469,1629,1629,230,0
nft,500000,3,tcp-reqresp,400,283,423,2861,2861,139,0
xdp,0,1,udp-echo,900,243,441,891,891,198,0
xdp,0,1,tcp-reqresp,400,292,568,1755,1755,275,0
xdp,0,2,udp-echo,900,255,414,2846,2846,159,0
xdp,0,2,tcp-reqresp,400,791,1328,1428,1428,537,0
xdp,0,3,udp-echo,900,231,313,430,430,82,0
xdp,0,3,tcp-reqresp,400,236,319,344,344,82,0
xdp,100000,1,udp-echo,900,233,388,1105,1105,154,0
xdp,100000,1,tcp-reqresp,400,311,484,777,777,172,0
xdp,100000,2,udp-echo,900,241,378,1314,1314,136,0
xdp,100000,2,tcp-reqresp,400,280,1099,1281,1281,819,0
xdp,100000,3,udp-echo,900,252,403,791,791,151,0
xdp,100000,3,tcp-reqresp,400,291,397,527,527,106,0
xdp,250000,1,udp-echo,900,255,1114,4300,4300,858,0
xdp,250000,1,tcp-reqresp,400,282,722,2775,2775,439,0
xdp,250000,2,udp-echo,900,256,1069,1307,1307,812,0
xdp,250000,2,tcp-reqresp,400,279,412,562,562,133,0
xdp,250000,3,udp-echo,900,253,433,1026,1026,179,0
xdp,250000,3,tcp-reqresp,400,265,467,3237,3237,201,0
xdp,500000,1,udp-echo,900,251,452,1417,1417,201,0
xdp,500000,1,tcp-reqresp,400,275,508,1313,1313,232,0
xdp,500000,2,udp-echo,900,237,434,1023,1023,197,0
xdp,500000,2,tcp-reqresp,400,278,458,886,886,180,0
xdp,500000,3,udp-echo,900,239,447,1637,1637,207,0
xdp,500000,3,tcp-reqresp,400,273,492,1687,1687,218,0
