stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,505309334,774341628,1.532,257602,0.2576
2,parse: read,28,13,13,578148714,983980493,1.702,249914,0.2499
3,parse: checks,43,28,15,710349026,1317413875,1.855,253385,0.2534
4,clock read,45,30,2,714372512,1330913987,1.863,249577,0.2496
5,stage 2 ICMP,49,34,4,739447244,1369626959,1.852,285723,0.2857
6,stage 3 source list,68,53,19,816134494,1590843070,1.949,288988,0.2890
7,stage 4 fragments,71,56,3,828887689,1622758519,1.958,269505,0.2695
8,stage 5 uRPF,75,60,4,836253210,1648164049,1.971,257235,0.2572
9,stage 6 signatures,100,85,25,965044521,1919209517,1.989,298583,0.2986
10,stage 7 buckets,124,109,24,1114252663,2230692077,2.002,279548,0.2795
