stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,14,0,0,505057921,773881528,1.532,244114,0.2441
2,parse: read,28,13,13,573792881,977751026,1.704,250819,0.2508
3,parse: ip length,33,18,5,586099775,1022684210,1.745,254332,0.2543
4,parse: ip options,35,20,2,596309528,1043374130,1.750,261031,0.2610
5,parse: fragment,36,21,1,624308839,1094167255,1.753,261817,0.2618
6,parse: transport,46,31,10,723821919,1344804814,1.858,261253,0.2613
7,clock read,47,32,1,724858828,1359240101,1.875,263339,0.2633
8,stage 2 ICMP,51,36,4,748488252,1393900310,1.862,271875,0.2719
9,stage 3 source list,74,59,23,840050715,1611295962,1.918,269563,0.2696
10,stage 4 fragments,78,63,4,847702031,1644755756,1.940,272085,0.2721
11,stage 5 uRPF,82,67,4,854452225,1669637660,1.954,279391,0.2794
12,stage 6 signatures,101,86,19,988231478,1951033705,1.974,280701,0.2807
13,stage 7 buckets,128,113,27,1145963193,2265603837,1.977,297646,0.2976
